Treatment,SiteName,soc,init_soc_sd
Fert0NS,Breton,49,
Fert0S,Breton,49,
Fert25NS,Breton,49,
Fert25S,Breton,49,
Fert50NS,Breton,49,
Fert50S,Breton,49,
Fert75NS,Breton,49,
Fert75S,Breton,49,
Fert0NoStraw,Ellerslie_Solberg,165,
Fert0Straw,Ellerslie_Solberg,165,
Fert25NoStraw,Ellerslie_Solberg,165,
Fert25Straw,Ellerslie_Solberg,165,
Fert50NoStraw,Ellerslie_Solberg,165,
Fert50Straw,Ellerslie_Solberg,165,
Fert75NoStraw,Ellerslie_Solberg,165,
Fert75Straw,Ellerslie_Solberg,165,
Fert,Harrow_CC,87.5,3.3
UnFert,Harrow_CC,80.2,4.3
F1,Harrow_CS,88.7,4.4
F2,Harrow_CS,88.7,4.4
F3,Harrow_CS,88.7,4.4
F4,Harrow_CS,88.7,4.4
FWWNS,IndianHead,42,
FWWS,IndianHead,42,
CW,Lethbridge_E001,58.2,5
FW,Lethbridge_E001,58.2,5
FWW,Lethbridge_E001,58.2,5
CONTW,Lethbridge_E008,60.8,
FW,Lethbridge_E008,60.8,
FWW,Lethbridge_E008,60.8,
cc0,Ottawa,84.1,17.9
cc100,Ottawa,81.7,11.1
cc200,Ottawa,80.6,4.7
ContW,SwiftCurrent_NewRot,55.7,
FWW,SwiftCurrent_NewRot,56,
FWWW,SwiftCurrent_NewRot,54.2,
ContWNandP,SwiftCurrent_oldRot,57.7,3
FWNandP,SwiftCurrent_oldRot,46.7,4.9
FWWNandP,SwiftCurrent_oldRot,51.7,2.5
