location_n,latitude,longitude,province,GG,SGG,Can_SOC30 (Mg ha-1)
"Beaverlodge, Alberta",55.18333333,-119.5333333,Alberta,Gray Luvisol,Orthic,47.7
"Birch Hills, Saskatchewan",52.975,-105.416,Saskatchewan, , ,81.9
"Bow River, Alberta",50.875,-113.912,Alberta, , ,-9999.0
Breton,53.116667,-114.466667,Alberta,Gray Luvisol,Orthic,86.4
"Delhi, Ontario",42.83333333,-80.5,Ontario,Gray Brown Luvisol,Orthic,57.6
"Dresden, Ontario",42.594,-82.22,Ontario, , ,79.9
"Ellerslie, Alberta",53.41666667,-113.55,Alberta,Black Chernozem,Orthic,131.9
"Elora,  Ontario",43.63333333,-80.41666667, Ontario,Gray Brown Luvisol,Orthic,90.7
"Elora, Ontario",43.63333333,-80.41666667,Ontario,Melanic Brunisol, ,90.7
"Fort Vermillion, Alberta",55.18333333,-119.5333333,Alberta,Gray Luvisol,Orthic,47.7
"Harrigton, Prince Edward Island",46.33333333,-63.16666667,Prince Edward Island,Gray Luvisol,Orthic,45.8
Harrow,42.166667,-82.666667,Ontario,Luvic Gleysol,Orthic,74.2
"Indian Head, Saskatchewan",50.53333333,-103.6666667,Saskatchewan,Black Chernozem,Orthic,61.1
"La Pocatiere, Quebec",47.33333333,-70,Quebec,Humic Gleysol,Orthic,65.1
"L'Acadie, Quebec",45.3,-73.35,Quebec,Humic Gleysol,Orthic,85.1
"Lethbridge, Alberta",49.7,-112.8,Alberta,Dark Brown Chernozem,Orthic,91.5
"Melfort, Saskatchewan",52.85,-104.6166667,Saskatchewan,Black Chernozem,Orthic,79.7
"Normandin, Quebec",48.83333333,-72.66666667,Quebec,Humic Gleysol,Orthic,39.2
Ottawa,45.5,-75.666667,Ontario,Melanic Brunisol,Orthic,57.3
"Paris, Ontario",43.17,-80.41,Ontario, , ,75.5
"Ridgetown, Ontario",42.43333333,-81.88333333,Ontario,Humic Gleysol,Orthic,69.3
Scott,52.366667,-108.833333,Saskatchewan,Dark Brown Chernozem,Orthic,53.7
"Star City, Saskatchewan",52.86666667,-104.3333333,Saskatchewan,Gray Luvisol,Orthic,82.4
"Stewart Valley, Saskatchewan",50.6,-107.8,Saskatchewan,Brown Chernozem, ,45.4
"Strathroy, Ontario",42.963,-81.656,Ontario, , ,76.4
Swift Current Old,50.25,-107.8,Saskatchewan,Brown Chernozem,Orthic,46.9
"Swift Current New, Saskatchewan",50.26666667,-107.7333333,Saskatchewan,Brown Chernozem,Orthic,46.8
"Thorndale, Ontario",43.11,-81.138,Ontario, , ,77.0
"Three Hills, Alberta",51.702,-113.292,Alberta, , ,102.8
"Woodslee,  Ontario",42.21666667,-82.75, Ontario,Humic Gleysol,Orthic,76.5
